Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
7398,7398,0,5,131071,-1,0,-365960,-239385,0,87,4
7399,7399,0,4,121089,-50171,0,-366874,-240756,0,88,-64
7400,7400,0,10,92663,-92699,0,-367326,-241660,0,89,-9
7401,7401,0,-9,-50124,-121109,0,-367322,-241644,0,90,-51
7402,7402,0,19,-1,-131072,0,-366845,-241326,0,91,-43
7403,7403,0,7,-50171,-121090,0,-366627,-240672,0,92,-9
7404,7404,0,9,-92699,-92664,0,-366429,-240276,0,93,-44
7405,7405,0,12,-121109,50123,0,-366015,-239862,0,94,9
7406,7406,0,16,-131072,0,0,-365867,-239788,0,95,-21
7407,7407,0,15,-121090,50170,1,-365780,-239701,0,96,-7
7408,7408,0,7,-92664,92698,0,-365722,-239585,0,97,-41
7409,7409,0,7,50123,121108,0,-365500,-239363,0,98,-15
7410,7410,0,7,0,131071,0,-365224,-239225,0,-316481161,15
7411,7411,0,9,50170,121089,0,-364630,-238631,0,105176267,-47
7412,7412,0,8,92698,92663,0,-364194,-237977,0,-143742647,-5
7413,7413,0,11,121108,-50124,0,-363717,-237341,0,-12220729,-42
7414,7414,0,-4,131071,-1,0,-363705,-237329,0,54541850,-4
7415,7415,0,-4,121089,-50171,0,-364157,-237781,0,21031007,-30
7416,7416,0,5,92663,-92699,0,-364614,-239152,0,4259250,7
7417,7417,0,17,-50124,-121109,0,-366363,-240318,0,-4128675,77
7418,7418,0,4,-1,-131072,0,-367866,-241821,0,-8322893,-6
7419,7419,0,14,-50171,-121090,0,-368370,-241989,0,-6225752,11
7420,7420,0,8,-92699,-92664,0,-367296,-240915,0,-5177178,-71
7421,7421,0,7,-121109,50123,0,-366391,-238200,0,-4652891,47
7422,7422,0,15,-131072,0,0,-362713,-235748,0,-4915034,23
7423,7423,0,8,-121090,50170,0,-359419,-234650,0,-5046105,6
7424,7424,0,-1,-92664,92698,0,-358135,-233366,0,-4980570,-37
7425,7425,0,0,50123,121108,0,-360106,-234680,0,-5013337,-87
7426,7426,0,-1,0,131071,0,-363708,-238282,0,-5029720,20
7427,7427,0,6,50170,121089,0,-368720,-243294,0,-5037911,-24
7428,7428,0,-2,92698,92663,0,-373352,-250242,0,-5033816,-49
7429,7429,0,5,121108,-50124,0,-374378,-251268,0,-5031769,-26
7430,7430,0,19,131071,-1,0,-370928,-247818,0,-5030746,-35
7431,7431,0,2,121089,-50171,0,-363832,-240722,0,-5030235,40
7432,7432,0,0,92663,-92699,0,-348256,-225146,0,-5029980,-71
7433,7433,0,17,-50124,-121109,0,-333034,-209924,0,-5029853,-26
7434,7434,0,16,-1,-131072,0,-327998,-204888,0,-5029790,-69
7435,7435,0,16,-50171,-121090,0,-330527,-204888,0,-5029759,17
7436,7436,0,6,-92699,-92664,0,-349263,-223624,0,-5029744,1
7437,7437,0,2,-121109,50123,0,-399267,-273628,0,-5029737,-76
7438,7438,0,21,-131072,0,0,-467661,-296426,0,-5029733,-33
7439,7439,0,7,-121090,50170,0,-520253,-375314,0,-5029731,-108
7440,7440,0,-4,-92664,92698,0,-599141,-401610,1,-5029730,-39
7441,7441,0,5,50123,121108,0,-644737,-447206,0,2,-72
7442,7442,0,4,0,131071,0,-711409,-480542,0,3,-37
7443,7443,0,10,50170,121089,0,-748881,-499278,0,4,-7
