Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_i[31:0],top_i/baseband_j[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
352,352,0,1,21203,29019
353,353,0,1,30955,12557
354,354,0,1,28495,-9088
355,355,0,1,13092,-33390
356,356,0,1,-13269,-57165
357,357,0,1,-45791,-77165
358,358,0,1,-77627,-90691
359,359,0,1,-101372,-96168
360,360,0,1,-110848,-93479
361,361,0,1,-102820,-83973
362,362,0,1,-77947,-70115
363,363,0,1,-40884,-54869
364,364,0,1,822,-40936
365,365,0,1,38641,-30128
366,366,0,1,65136,-23019
367,367,0,1,75814,-18966
368,368,0,1,70083,-16536
369,369,0,1,51176,-14080
370,370,0,1,25035,-10380
371,371,0,1,-1407,-5116
372,372,0,1,-22091,1000
373,373,0,1,-33239,6492
374,374,0,1,-34095,9591
375,375,0,1,-26730,8853
376,376,0,1,-15149,3724
377,377,0,1,-3962,-5173
378,378,0,1,2922,-16070
379,379,0,1,3331,-26462
380,380,0,1,-2763,-33708
381,381,0,1,-13422,-35777
382,382,0,1,-25469,-31864
383,383,0,1,-35577,-22778
384,384,0,1,-41286,-10919
385,385,0,1,-41718,191
386,386,0,1,-37772,6707
387,387,0,1,-31750,5485
388,388,0,1,-26479,-4967
389,389,0,1,-24321,-23764
390,390,0,1,-26283,-47559
391,391,0,1,-31627,-71074
392,392,0,1,-38183,-88339
393,393,0,1,-43104,-94267
394,394,0,1,-43989,-86228
395,395,0,1,-39856,-65166
396,396,0,1,-31598,-35789
397,397,0,1,-21775,-5615
398,398,0,1,-13760,16842
399,399,0,1,-10536,24445
400,400,0,1,-13621,13542
401,401,0,1,-22456,-14704
402,402,0,1,-34627,-54382
403,403,0,1,-46663,-96329
404,404,0,1,-55265,-130550
405,405,0,1,-58469,-148943
406,406,0,1,-56301,-147495
407,407,0,1,-50740,-127238
408,408,0,1,-44966,-93672
409,409,0,1,-42216,-55000
410,410,0,1,-44607,-19665
411,411,0,1,-52387,5933
412,412,0,1,-63759,18802
413,413,0,1,-75397,19621
414,414,0,1,-83435,11831
415,415,0,1,-84596,24
416,416,0,1,-77154,-11669
417,417,0,1,-61424,-20689
418,418,0,1,-39724,-26438
419,419,0,1,-15817,-29815
420,420,0,1,6010,-32390
421,421,0,1,21928,-35498
422,422,0,1,29471,-39621
423,423,0,1,28055,-44285
424,424,0,1,19020,-48392
425,425,0,1,5277,-50753
426,426,0,1,-9448,-50663
427,427,0,1,-21539,-48226
428,428,0,1,-28331,-44417
429,429,0,1,-28730,-40769
430,430,0,1,-23370,-38944
431,431,0,1,-14377,-40246
432,432,0,1,-4713,-45147
433,433,0,1,2601,-53075
434,434,0,1,5277,-62440
435,435,0,1,2275,-70966
436,436,0,1,-6073,-76248
437,437,0,1,-18271,-76372
438,438,0,1,-32117,-70576
439,439,0,1,-45364,-59580
440,440,0,1,-56188,-45545
441,441,0,1,-63513,-31582
442,442,0,1,-67042,-20958
443,443,0,1,-67096,-16116
444,444,0,1,-64309,-17948
445,445,0,1,-59362,-25451
446,446,0,1,-52800,-35980
447,447,0,1,-44954,-45987
448,448,0,1,-36010,-52065
449,449,0,1,-26153,-51900
450,450,0,1,-15693,-44963
451,451,0,1,-5103,-32637
452,452,0,1,4921,-17827
453,453,0,1,13533,-4143
454,454,0,1,19740,5027
455,455,0,1,22538,7409
456,456,0,1,21041,2379
457,457,0,1,14552,-8875
458,458,0,1,2822,-23618
459,459,0,1,-13765,-38202
460,460,0,1,-34021,-48867
461,461,0,1,-55903,-52660
462,462,0,1,-76691,-48134
463,463,0,1,-93405,-35766
464,464,0,1,-103336,-17937
465,465,0,1,-104699,1532
466,466,0,1,-97099,18310
467,467,0,1,-81706,28543
468,468,0,1,-61091,29838
469,469,0,1,-38702,21843
470,470,0,1,-18182,6239
471,471,0,1,-2647,-13794
472,472,0,1,5804,-34496
473,473,0,1,6272,-52545
474,474,0,1,-978,-65874
475,475,0,1,-14792,-73980
476,476,0,1,-33361,-77714
477,477,0,1,-54465,-78734
478,478,0,1,-75664,-78675
479,479,0,1,-94387,-78557
480,480,0,1,-108204,-78552
481,481,0,1,-115175,-78034
482,482,0,1,-114288,-75998
483,483,0,1,-105804,-71625
484,484,0,1,-91352,-64676
485,485,0,1,-73634,-55634
486,486,0,1,-55803,-45668
487,487,0,1,-40599,-36291
488,488,0,1,-29629,-29047
489,489,0,1,-23020,-25219
490,490,0,1,-19640,-25619
491,491,0,1,-17760,-30494
492,492,0,1,-16099,-39425
493,493,0,1,-14475,-51310
494,494,0,1,-14096,-64325
495,495,0,1,-17057,-76064
496,496,0,1,-25358,-83841
497,497,0,1,-39714,-85247
498,498,0,1,-58803,-78830
499,499,0,1,-79223,-64762
500,500,0,1,-96377,-45221
501,501,0,1,-105959,-24167
502,502,0,1,-105581,-6555
503,503,0,1,-95726,2842
504,504,0,1,-79791,885
505,505,0,1,-62990,-12783
506,506,0,1,-50469,-35373
507,507,0,1,-45457,-61489
508,508,0,1,-48019,-84476
509,509,0,1,-55027,-98303
510,510,0,1,-61430,-99310
511,511,0,1,-62326,-87355
512,512,0,1,-55045,-65875
513,513,0,1,-40483,-40893
514,514,0,1,-23095,-19229
515,515,0,1,-9505,-6474
516,516,0,1,-6203,-5400
517,517,0,1,-17146,-15255
518,518,0,1,-42197,-32150
519,519,0,1,-76903,-50437
520,520,0,1,-113682,-64459
521,521,0,1,-144101,-70245
522,522,0,1,-161391,-66558
523,523,0,1,-162272,-55035
524,524,0,1,-147755,-39484
525,525,0,1,-122542,-24588
526,526,0,1,-93385,-14567
527,527,0,1,-67053,-12082
528,528,0,1,-48495,-17709
529,529,0,1,-39704,-30070
530,530,0,1,-39694,-46381
531,531,0,1,-45243,-63250
532,532,0,1,-52166,-77449
533,533,0,1,-56689,-86460
534,534,0,1,-56564,-88777
535,535,0,1,-51488,-84026
536,536,0,1,-42991,-72910
537,537,0,1,-33790,-57094
538,538,0,1,-26870,-39016
539,539,0,1,-24470,-21614
540,540,0,1,-27405,-7915
541,541,0,1,-34754,-511
542,542,0,1,-44123,-1006
543,543,0,1,-52322,-9561
544,544,0,1,-56301,-24718
545,545,0,1,-54153,-43581
546,546,0,1,-45773,-62417
547,547,0,1,-33018,-77493
548,548,0,1,-19260,-86011
549,549,0,1,-8507,-86824
550,550,0,1,-4218,-80717
551,551,0,1,-8323,-70183
552,552,0,1,-20558,-58690
553,553,0,1,-38498,-49664
554,554,0,1,-58145,-45478
555,555,0,1,-74965,-46775
556,556,0,1,-84938,-52283
557,557,0,1,-85629,-59260
558,558,0,1,-76635,-64392
559,559,0,1,-59624,-64871
560,560,0,1,-37905,-59356
561,561,0,1,-15523,-48458
562,562,0,1,3604,-34663
563,563,0,1,16564,-21612
564,564,0,1,22035,-13071
565,565,0,1,20401,-11797
566,566,0,1,13506,-18739
567,567,0,1,4042,-32726
568,568,0,1,-5270,-50773
569,569,0,1,-12479,-68873
570,570,0,1,-16907,-82977
571,571,0,1,-19260,-89937
572,572,0,1,-21254,-88152
573,573,0,1,-24841,-77751
574,574,0,1,-31358,-60462
575,575,0,1,-40882,-39155
576,576,0,1,-52004,-17264
577,577,0,1,-62148,1810
578,578,0,1,-68441,15188
579,579,0,1,-68704,20962
580,580,0,1,-62276,18494
581,581,0,1,-50363,8564
582,582,0,1,-35659,-6659
583,583,0,1,-21569,-23987
584,584,0,1,-11071,-39773
585,585,0,1,-5797,-50709
586,586,0,1,-5681,-54617
587,587,0,1,-9215,-51024
588,588,0,1,-14208,-41308
589,589,0,1,-18784,-28345
590,590,0,1,-22182,-15727
591,591,0,1,-24951,-6794
592,592,0,1,-28681,-3735
593,593,0,1,-35182,-7038
594,594,0,1,-45544,-15476
595,595,0,1,-59593,-26525
596,596,0,1,-75676,-37154
597,597,0,1,-91114,-44575
598,598,0,1,-103013,-46959
599,599,0,1,-109152,-43742
600,600,0,1,-108519,-35604
601,601,0,1,-101535,-24160
602,602,0,1,-89711,-11534
603,603,0,1,-75087,139
604,604,0,1,-59637,9104
605,605,0,1,-44857,14252
606,606,0,1,-31692,15220
607,607,0,1,-20690,12382
608,608,0,1,-12195,6624
609,609,0,1,-6530,-941
610,610,0,1,-3966,-9247
611,611,0,1,-4546,-17505
612,612,0,1,-7881,-25330
613,613,0,1,-13038,-32646
614,614,0,1,-18660,-39405
615,615,0,1,-23371,-45345
616,616,0,1,-26237,-49799
617,617,0,1,-27099,-51716
618,618,0,1,-26682,-49940
619,619,0,1,-26360,-43705
620,620,0,1,-27656,-33033
621,621,0,1,-31582,-19055
622,622,0,1,-38184,-3931
623,623,0,1,-46378,9619
624,624,0,1,-54227,19000
625,625,0,1,-59607,22478
626,626,0,1,-60867,19714
