Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
539,539,0,38
540,540,0,-101
541,541,0,-29
542,542,0,6
543,543,0,-23
544,544,0,2
545,545,0,-33
546,546,0,61
547,547,0,-42
548,548,0,50
549,549,0,83
550,550,0,-13
551,551,0,29
552,552,0,-37
553,553,0,-32
554,554,0,25
555,555,0,-21
556,556,0,69
557,557,0,46
558,558,0,76
559,559,0,4
560,560,0,-8
561,561,0,46
562,562,0,11
563,563,0,32
564,564,0,36
565,565,0,38
566,566,0,-5
567,567,0,52
568,568,0,83
569,569,0,-23
570,570,0,3
571,571,0,19
572,572,0,62
573,573,0,-5
574,574,0,-52
575,575,0,-63
576,576,0,5
577,577,0,47
578,578,0,8
579,579,0,16
580,580,0,-56
581,581,0,64
582,582,0,172
583,583,0,-1
584,584,0,6
585,585,0,25
586,586,0,-41
587,587,0,11
588,588,0,62
589,589,0,71
590,590,0,-5
591,591,0,-39
592,592,0,-4
593,593,0,8
594,594,0,12
595,595,0,53
596,596,0,-30
597,597,0,-59
598,598,0,111
599,599,0,40
600,600,0,-11
601,601,0,42
602,602,0,-81
603,603,0,-67
604,604,0,148
605,605,0,202
606,606,0,-65
607,607,0,-148
608,608,0,14
609,609,0,23
610,610,0,57
611,611,0,-35
612,612,0,-53
613,613,0,112
614,614,0,98
615,615,0,-29
616,616,0,-65
617,617,0,63
618,618,0,55
619,619,0,-49
620,620,0,-34
621,621,0,-36
622,622,0,55
623,623,0,6
624,624,0,-27
625,625,0,-28
626,626,0,76
627,627,0,19
628,628,0,19
629,629,0,106
630,630,0,11
631,631,0,-170
632,632,0,-79
633,633,0,-110
634,634,0,-24
635,635,0,89
636,636,0,115
637,637,0,-43
638,638,0,-56
639,639,0,5
640,640,0,17
641,641,0,95
642,642,0,8
643,643,0,-43
644,644,0,-99
645,645,0,69
646,646,0,132
647,647,0,17
648,648,0,32
649,649,0,-94
650,650,0,39
651,651,0,40
652,652,0,58
653,653,0,-13
654,654,0,-12
655,655,0,119
656,656,0,-100
657,657,0,4
658,658,0,-97
659,659,0,68
660,660,0,186
661,661,0,46
662,662,0,33
663,663,0,-48
