Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
2820,2820,0,16,22364,129148,0,-977914,-2414369,1,72547412,-15
2821,2821,0,280,-129149,22364,0,-773261,-2590688,1,86083098,-14
2822,2822,0,600,-22365,-129149,0,-276819,-2880352,1,73531024,-20
2823,2823,0,-378,129148,-22365,0,348877,-3164631,1,46959477,-3
2824,2824,0,-341,22364,129148,0,572703,-3344777,1,18112136,-9
2825,2825,0,320,-129149,22364,0,452015,-3369583,1,-10799814,-16
2826,2826,0,42,-22365,-129149,0,-2112,-3099224,1,-44714250,-25
2827,2827,0,51,129148,-22365,0,-348305,-2517301,1,-90715131,-13
2828,2828,0,-815,22364,129148,0,-582577,-1951424,1,-146753276,-16
2829,2829,0,-1410,-129149,22364,0,-1213018,-1627466,1,-170362066,-19
2830,2830,0,-245,-22365,-129149,0,-1949740,-1342327,1,-123589492,-13
2831,2831,0,-73,129148,-22365,0,-2125522,-1209262,1,-52336760,-17
