Frequency,Attenuation_dB
1.550535903125000000e+07,-4.663299517734826455e-02
1.550553481250000000e+07,-4.412742730673827746e-02
1.550571059375000000e+07,-4.114572832074134268e-02
1.550588637500000000e+07,-3.837121523902598669e-02
1.550606215625000000e+07,-3.623178053395310905e-02
1.550623793750000000e+07,-3.481234836230257673e-02
1.550641371875000000e+07,-3.385675564779586089e-02
1.550658950000000000e+07,-3.277645284536526149e-02
1.550676528125000000e+07,-3.065904309975372305e-02
1.550694106250000000e+07,-2.635853604022955071e-02
1.550711684375000000e+07,-1.849785324027994685e-02
1.550729262500000000e+07,-2.110001968245219656e-02
1.550746840625000000e+07,-3.139749601849724236e-02
1.550764418750000000e+07,-2.480442538943811864e-02
1.550781996875000000e+07,-1.801200569046140787e-02
1.550799575000000000e+07,-1.419519532963877013e-02
1.550817153125000000e+07,-1.273655321931448613e-02
1.550834731250000000e+07,-1.263216673934716705e-02
1.550852309375000000e+07,-1.249898706892527307e-02
1.550869887500000000e+07,-1.066328593959846478e-02
1.550887465625000000e+07,-5.191141624434802287e-03
1.550905043750000000e+07,5.993994269965388470e-03
1.550922621875000000e+07,2.772572322785603642e-04
1.550940200000000000e+07,-3.488523995299397037e-03
1.550957778125000000e+07,-8.000842076625970523e-03
1.550975356250000000e+07,-2.650446470923759935e-03
1.550992934375000000e+07,4.626564788320109388e-03
1.551010512500000000e+07,7.455155776867496316e-03
1.551028090625000000e+07,7.548288309286240068e-03
1.551045668750000000e+07,7.014372867693879909e-03
1.551063246875000000e+07,8.332055975022375008e-03
1.551080825000000000e+07,1.415429976089034939e-02
1.551098403125000000e+07,2.047694651375827832e-02
1.551115981250000000e+07,1.585530120782211588e-02
1.551133559375000000e+07,1.556418160594205333e-02
1.551151137500000000e+07,1.576825204074852604e-02
1.551168715625000000e+07,1.286976862034533778e-02
1.551186293750000000e+07,1.408556409832596897e-02
1.551203871875000000e+07,2.034001323808661346e-02
1.551221450000000000e+07,2.205255795119189302e-02
1.551239028125000000e+07,2.202088842396011589e-02
1.551256606250000000e+07,2.341438137356097182e-02
1.551274184375000000e+07,2.962779987057306483e-02
1.551291762500000000e+07,2.860796877842590458e-02
1.551309340625000000e+07,2.498476074919557532e-02
1.551326918750000000e+07,2.581472696696666957e-02
1.551344496875000000e+07,2.794207281997198103e-02
1.551362075000000000e+07,2.842676879051250077e-02
1.551379653125000000e+07,2.469947328301477785e-02
1.551397231250000000e+07,2.077992830156256271e-02
1.551414809375000000e+07,2.649297710855287938e-02
1.551432387500000000e+07,2.891425140831125826e-02
1.551449965625000000e+07,3.187301648442608659e-02
1.551467543750000000e+07,3.940852948867478583e-02
1.551485121875000000e+07,3.094852157389278019e-02
1.551502700000000000e+07,2.732381330697567293e-02
1.551520278125000000e+07,2.774778716346725654e-02
1.551537856250000000e+07,2.976441917118960792e-02
1.551555434375000000e+07,3.117697002526297750e-02
1.551573012500000000e+07,3.011639003944432263e-02
1.551590590625000000e+07,2.509280343872058103e-02
1.551608168750000000e+07,1.702184664144901563e-02
1.551625746875000000e+07,2.460865955957275419e-02
1.551643325000000000e+07,3.141331886013528502e-02
1.551660903125000000e+07,3.526819516947167499e-02
1.551678481250000000e+07,2.670728403206909518e-02
1.551696059375000000e+07,2.302648034147574893e-02
1.551713637500000000e+07,2.238154830692667269e-02
1.551731215625000000e+07,2.310106462799752305e-02
1.551748793750000000e+07,2.377332231994768591e-02
1.551766371875000000e+07,2.323928965534060448e-02
1.551783950000000000e+07,2.077488233156324707e-02
1.551801528125000000e+07,1.600587203279481632e-02
1.551819106250000000e+07,8.926493917978940013e-03
1.551836684375000000e+07,2.025623706802679933e-02
1.551854262500000000e+07,2.107126912417117692e-02
1.551871840625000000e+07,1.550480351019210487e-02
1.551889418750000000e+07,1.257740249064833414e-02
1.551906996875000000e+07,1.112384898478116155e-02
1.551924575000000000e+07,1.026469004401564349e-02
1.551942153125000000e+07,9.314811230880652368e-03
1.551959731250000000e+07,7.992215547442586485e-03
1.551977309375000000e+07,6.285832218172275263e-03
1.551994887500000000e+07,4.536238008693045144e-03
1.552012465625000000e+07,3.373079518343710149e-03
1.552030043750000000e+07,3.689606932637313087e-03
1.552047621875000000e+07,-2.290918210129702128e-03
1.552065200000000000e+07,-2.776852190008448872e-03
1.552082778125000000e+07,-3.335866983361131504e-03
1.552100356250000000e+07,-4.451724540646763255e-03
1.552117934375000000e+07,-6.342293371100379308e-03
1.552135512500000000e+07,-8.869409735699254962e-03
1.552153090625000000e+07,-1.153190399052731775e-02
1.552170668750000000e+07,-1.352099007653289817e-02
1.552188246875000000e+07,-1.376898965128579323e-02
1.552205825000000000e+07,-1.094705752051878048e-02
1.552223403125000000e+07,-1.035538026801959173e-02
1.552240981250000000e+07,-2.468710478201326108e-02
1.552258559375000000e+07,-2.821385840478035298e-02
1.552276137500000000e+07,-2.406681109127751378e-02
1.552293715625000000e+07,-2.300135999343567300e-02
1.552311293750000000e+07,-2.453543860333234211e-02
1.552328871875000000e+07,-2.777248702161276908e-02
1.552346450000000000e+07,-3.145952811772698837e-02
