Frequency,Attenuation_dB
9.225270000000000000e+05,-8.607355752565679552e+01
9.300270000000000000e+05,-8.605151403193148951e+01
9.375270000000000000e+05,-8.592181733930809173e+01
9.450270000000000000e+05,-8.610540522184400913e+01
9.525270000000000000e+05,-8.592128131415988435e+01
9.600270000000000000e+05,-8.601749909242515457e+01
9.675270000000000000e+05,-8.606216281473970753e+01
9.750270000000000000e+05,-8.606657003464096078e+01
9.825270000000000000e+05,-8.604373946430769138e+01
9.900270000000000000e+05,-8.599201750415116408e+01
9.975270000000000000e+05,-8.621728023859455448e+01
1.005027000000000000e+06,-8.582224029961152212e+01
1.012527000000000000e+06,-8.589844289184937054e+01
1.020027000000000000e+06,-8.602866279034792285e+01
1.027527000000000000e+06,-8.607317499381588277e+01
1.035027000000000000e+06,-8.609809738746115215e+01
1.042527000000000000e+06,-8.604061260215377160e+01
1.050027000000000000e+06,-8.611092796326823873e+01
1.057527000000000000e+06,-8.594851304046983387e+01
1.065027000000000000e+06,-8.608202943459217238e+01
1.072527000000000000e+06,-8.603201266569085703e+01
1.080027000000000000e+06,-8.613441975396909811e+01
1.087527000000000000e+06,-8.587411126171315345e+01
1.095027000000000000e+06,-8.602862519975789724e+01
1.102527000000000000e+06,-8.601840295507209078e+01
1.110027000000000000e+06,-8.604779061904977766e+01
1.117527000000000000e+06,-8.606297639530104959e+01
1.125027000000000000e+06,-8.610116758602133302e+01
1.132527000000000000e+06,-8.599786946706636570e+01
1.140027000000000000e+06,-8.600073423013641616e+01
1.147527000000000000e+06,-8.603145030839581864e+01
1.155027000000000000e+06,-8.628348263039923438e+01
1.162527000000000000e+06,-8.625124095364552090e+01
1.170027000000000000e+06,-8.590283524727296083e+01
1.177527000000000000e+06,-8.588974218158602980e+01
1.185027000000000000e+06,-8.602035126355191608e+01
1.192527000000000000e+06,-8.593421537932829324e+01
1.200027000000000000e+06,-8.591873030324438787e+01
1.207527000000000000e+06,-8.578594719175185901e+01
1.215027000000000000e+06,-8.591663899812962768e+01
1.222527000000000000e+06,-8.604391963887776740e+01
1.230027000000000000e+06,-8.608632604759611695e+01
1.237527000000000000e+06,-8.609340690969207799e+01
1.245027000000000000e+06,-8.602993576202743498e+01
1.252527000000000000e+06,-8.584680069027690763e+01
1.260027000000000000e+06,-8.593318845764129321e+01
1.267527000000000000e+06,-8.604478938640247065e+01
1.275027000000000000e+06,-8.608257369457442110e+01
1.282527000000000000e+06,-8.588393296784163056e+01
1.290027000000000000e+06,-8.585618799745476792e+01
1.297527000000000000e+06,-8.601915499081160021e+01
1.305027000000000000e+06,-8.595605555729113689e+01
1.312527000000000000e+06,-8.602242942809240844e+01
1.320027000000000000e+06,-8.626184647019829299e+01
1.327527000000000000e+06,-8.610556937188346183e+01
1.335027000000000000e+06,-8.609394551421209485e+01
1.342527000000000000e+06,-8.608848960961000785e+01
1.350027000000000000e+06,-8.637698755359137692e+01
1.357527000000000000e+06,-8.601893971392094329e+01
1.365027000000000000e+06,-8.606458530028275788e+01
1.372527000000000000e+06,-8.610507870595910163e+01
1.380027000000000000e+06,-8.596308544480348246e+01
1.387527000000000000e+06,-8.617992452069191245e+01
1.395027000000000000e+06,-8.616346554854601436e+01
1.402527000000000000e+06,-8.610268602690396733e+01
1.410027000000000000e+06,-8.600664103082675638e+01
1.417527000000000000e+06,-8.606996537128051727e+01
1.425027000000000000e+06,-8.611921619960435237e+01
1.432527000000000000e+06,-8.606796642369241113e+01
1.440027000000000000e+06,-8.609176955382525875e+01
1.447527000000000000e+06,-8.617949586774615511e+01
1.455027000000000000e+06,-8.603720251078426884e+01
1.462527000000000000e+06,-8.608327156913995282e+01
1.470027000000000000e+06,-8.618031980520866853e+01
1.477527000000000000e+06,-8.606798950936666870e+01
1.485027000000000000e+06,-8.617846335236504274e+01
1.492527000000000000e+06,-8.602076020031887538e+01
1.500027000000000000e+06,-8.613368401364826354e+01
1.507527000000000000e+06,-8.611674678916129722e+01
1.515027000000000000e+06,-8.613640094078185427e+01
1.522527000000000000e+06,-8.601786306381426073e+01
1.530027000000000000e+06,-8.618736117110911721e+01
1.537527000000000000e+06,-8.629973789124258587e+01
1.545027000000000000e+06,-8.624006140094331840e+01
1.552527000000000000e+06,-8.616303321639853152e+01
1.560027000000000000e+06,-8.620805484020323206e+01
1.567527000000000000e+06,-8.616024217752863024e+01
1.575027000000000000e+06,-8.612201244070767814e+01
1.582527000000000000e+06,-8.599908352565181247e+01
1.590027000000000000e+06,-8.621390120936494839e+01
1.597527000000000000e+06,-8.613322376232366651e+01
1.605027000000000000e+06,-8.591077857531897166e+01
1.612527000000000000e+06,-8.607861156822593784e+01
1.620027000000000000e+06,-8.596505125831284033e+01
1.627527000000000000e+06,-8.614750246626472574e+01
1.635027000000000000e+06,-8.616713824400603983e+01
1.642527000000000000e+06,-8.611278273491576840e+01
1.650027000000000000e+06,-8.620358518423792304e+01
1.657527000000000000e+06,-8.603385920896170092e+01
1.665027000000000000e+06,-8.622500517849729817e+01
1.672527000000000000e+06,-8.626162396960410206e+01
1.680027000000000000e+06,-8.603096118007171356e+01
1.687527000000000000e+06,-8.610328970485301170e+01
1.695027000000000000e+06,-8.615243639905341411e+01
1.702527000000000000e+06,-8.599385640602338299e+01
1.710027000000000000e+06,-8.602968602439213441e+01
1.717527000000000000e+06,-8.614636280438423910e+01
1.725027000000000000e+06,-8.586511889278435206e+01
1.732527000000000000e+06,-8.601418988669857413e+01
1.740027000000000000e+06,-8.601316436953217703e+01
1.747527000000000000e+06,-8.605765138379524615e+01
1.755027000000000000e+06,-8.606520562375919781e+01
1.762527000000000000e+06,-8.600378661432398530e+01
1.770027000000000000e+06,-8.605311639861386652e+01
1.777527000000000000e+06,-8.592891221456001460e+01
1.785027000000000000e+06,-8.613056997525085023e+01
1.792527000000000000e+06,-8.627383832445302403e+01
1.800027000000000000e+06,-8.608028694432918826e+01
1.807527000000000000e+06,-8.599926825863738600e+01
1.815027000000000000e+06,-8.624494291801704549e+01
1.822527000000000000e+06,-8.619345721697997931e+01
1.830027000000000000e+06,-8.609792641301667970e+01
1.837527000000000000e+06,-8.600791277396641021e+01
1.845027000000000000e+06,-8.614358753843305294e+01
1.852527000000000000e+06,-8.609084024193489881e+01
1.860027000000000000e+06,-8.608988024845031362e+01
1.867527000000000000e+06,-8.616825530559579249e+01
1.875027000000000000e+06,-8.610008189390576661e+01
1.882527000000000000e+06,-8.628789412294497652e+01
1.890027000000000000e+06,-8.613495307782038424e+01
1.897527000000000000e+06,-8.614326461187830830e+01
