Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
286,286,0,1,-268863,292340
287,287,0,1,-290917,282935
288,288,0,1,-316593,258137
289,289,0,1,-339733,221239
290,290,0,1,-354843,177969
291,291,0,1,-358742,135112
292,292,0,1,-351541,99006
293,293,0,1,-336541,74002
294,294,0,1,-319319,61607
295,295,0,1,-306198,60401
296,296,0,1,-302549,66622
297,297,0,1,-311521,75288
298,298,0,1,-333362,81516
299,299,0,1,-365466,81645
300,300,0,1,-403089,73811
301,301,0,1,-440446,58000
302,302,0,1,-471942,35664
303,303,0,1,-493239,9080
304,304,0,1,-501962,-19213
305,305,0,1,-497999,-46710
306,306,0,1,-483288,-71004
307,307,0,1,-461387,-89623
308,308,0,1,-436578,-100055
309,309,0,1,-413073,-100004
310,310,0,1,-394247,-88011
311,311,0,1,-382038,-64176
312,312,0,1,-376725,-30737
313,313,0,1,-377095,7880
314,314,0,1,-380903,45817
315,315,0,1,-385512,77158
316,316,0,1,-388622,97693
317,317,0,1,-388722,106263
318,318,0,1,-385369,105409
319,319,0,1,-379096,100756
320,320,0,1,-371020,99317
321,321,0,1,-362395,107233
322,322,0,1,-354232,127647
323,323,0,1,-347066,159475
324,324,0,1,-341005,197571
325,325,0,1,-335976,234189
326,326,0,1,-332020,261281
327,327,0,1,-329460,272949
328,328,0,1,-328816,267157
329,329,0,1,-330525,246183
330,330,0,1,-334520,215933
331,331,0,1,-339963,184160
332,332,0,1,-345286,158307
333,333,0,1,-348567,143640
334,334,0,1,-348132,142082
335,335,0,1,-343237,151956
336,336,0,1,-334436,168637
337,337,0,1,-323435,185762
338,338,0,1,-312483,196799
339,339,0,1,-303532,196584
340,340,0,1,-297422,182616
341,341,0,1,-293584,155701
342,342,0,1,-290462,120016
343,343,0,1,-286320,82310
344,344,0,1,-280335,50450
345,345,0,1,-273340,31488
346,346,0,1,-267812,29808
347,347,0,1,-267080,45854
348,348,0,1,-273938,75954
349,349,0,1,-289253,113265
350,350,0,1,-311134,149746
351,351,0,1,-335126,178449
352,352,0,1,-355380,195523
